"","title","artist","acousticness","danceability","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","duration_sec","like"
"165","Across the Universe","Fiona Apple",0.431,0.578,0.481,0.00299,4,0.0951,-10.545,1,0.0317,129.881,4,0.548,307.333,"1"
"166","Every Single Night","Fiona Apple",0.859,0.687,0.195,0,0,0.226,-12.612,1,0.0603,125.949,4,0.402,209.387,"1"
"167","Valentine","Fiona Apple",0.784,0.51,0.18,0.000478,2,0.0944,-15.673,1,0.0553,109.973,4,0.145,212.84,"1"
"168","Blue Spotted Tail","Fleet Foxes",0.903,0.501,0.0305,0.00141,7,0.108,-21.455,1,0.0417,89.721,4,0.675,185.293,"1"
"169","Don't Stop - 2004 Remastered Edition","Fleetwood Mac",0.0373,0.672,0.72,9.38e-06,9,0.0371,-7.781,1,0.035,118.731,4,0.828,193.347,"1"
"170","Dreams - 2004 Remastered Edition","Fleetwood Mac",0.0644,0.828,0.492,0.00428,0,0.128,-9.744,1,0.0276,120.151,4,0.789,257.8,"1"
"171","Landslide","Fleetwood Mac",0.883,0.414,0.161,0.000223,7,0.117,-22.32,0,0.0318,159.375,4,0.423,199.493,"1"
"172","Silver Springs - 2004 Remastered Edition","Fleetwood Mac",0.00766,0.348,0.576,0.0462,0,0.276,-8.388,1,0.0289,179.014,4,0.428,288.787,"1"
"173","Silver Springs - 2004 Remastered Edition","Fleetwood Mac",0.00766,0.348,0.576,0.0462,0,0.276,-8.388,1,0.0289,179.014,4,0.428,288.787,"1"
"174","Storms - 2015 Remastered","Fleetwood Mac",0.877,0.73,0.285,0.0126,11,0.137,-15.103,0,0.0319,107.14,4,0.284,330.747,"1"
"175","That's All For Everyone - 2015 Remastered","Fleetwood Mac",0.505,0.62,0.438,0.164,0,0.234,-12.288,1,0.0287,114.572,4,0.619,181.307,"1"
"176","Think About Me - 2015 Remastered","Fleetwood Mac",0.00448,0.684,0.679,0.00832,0,0.112,-8.891,1,0.0255,116.603,4,0.783,164.333,"1"
"177","Shake It Out","Florence + The Machine",0.00878,0.519,0.799,0,10,0.107,-4.207,1,0.0371,107.489,4,0.226,277.6,"1"
"178","Shake It Out","Florence + The Machine",0.0126,0.519,0.808,0,10,0.105,-4.097,1,0.0383,107.505,4,0.251,277.72,"1"
"179","Stand By Me","Florence + The Machine",0.846,0.33,0.356,9.55e-05,9,0.194,-6.911,1,0.0352,93.778,3,0.243,245.78,"1"
"180","Bad Religion","Frank Ocean",0.779,0.276,0.358,2.5e-06,9,0.0728,-7.684,1,0.0443,81.977,4,0.13,175.453,"1"
"181","Chanel","Frank Ocean",0.874,0.776,0.503,0,0,0.112,-5.732,0,0.237,110.134,4,0.473,210.285,"1"
"182","Ivy","Frank Ocean",0.782,0.567,0.388,0.000309,9,0.248,-9.579,0,0.0384,116.362,4,0.452,249.191,"1"
"183","Moon River","Frank Ocean",0.877,0.24,0.116,0.00092,0,0.1,-13.216,1,0.0329,77.349,3,0.0937,188.324,"1"
"184","Nights","Frank Ocean",0.42,0.466,0.548,1.01e-06,5,0.113,-9.362,0,0.118,89.815,4,0.423,307.151,"1"
"185","Nikes","Frank Ocean",0.695,0.543,0.394,0.000239,8,0.108,-9.637,1,0.0864,137.811,4,0.118,314.075,"1"
"186","Pink + White","Frank Ocean",0.67,0.544,0.552,4.57e-05,9,0.415,-7.45,1,0.0991,159.738,3,0.554,184.516,"1"
"187","Pink Matter","Frank Ocean",0.95,0.399,0.247,0.000428,11,0.105,-11.473,0,0.0632,84.093,4,0.493,268.813,"1"
"188","Provider","Frank Ocean",0.74,0.654,0.325,2.14e-05,2,0.152,-11.925,1,0.282,139.886,4,0.39,243.238,"1"
"189","Pyramids","Frank Ocean",0.0134,0.405,0.647,7.62e-05,5,0.819,-6.109,0,0.0482,131.952,4,0.196,592.92,"1"
"190","Self Control","Frank Ocean",0.765,0.572,0.209,0,8,0.356,-10.413,1,0.0313,80.069,4,0.446,249.668,"1"
"191","Thinkin Bout You","Frank Ocean",0.41,0.716,0.35,0.00134,0,0.0927,-11.094,1,0.0537,129.842,4,0.178,200.747,"1"
"192","White","Frank Ocean",0.775,0.551,0.0743,0.913,1,0.0992,-18.799,1,0.107,138.413,4,0.281,76.28,"1"
